""	"SRR7170030"	"SRR7170031"	"SRR7170032"	"SRR7170033"	"SRR7170034"	"SRR7170035"
"0610005C13Rik"	0	0	0	0	2	0
"0610006L08Rik"	0	0	0	0	0	0
"0610009E02Rik"	6	3	0	5	0	5
"0610009L18Rik"	57	10	18	76	29	40
"0610010K14Rik"	802	916	723	852	708	910
"0610025J13Rik"	4	4	0	0	0	0
"0610030E20Rik"	460	512	509	487	306	527
"0610031O16Rik"	0	0	0	0	1	2
"0610038B21Rik"	0	9	2	0	3	0
"0610039H22Rik"	0	0	0	0	0	0
"0610039K10Rik"	0	1	0	0	0	0
"0610040B10Rik"	15	10	8	12	15	10
"0610040F04Rik"	1	3	2	4	2	3
"0610040J01Rik"	51	69	92	41	43	18
"0610042G04Rik"	0	1	0	0	0	0
"0610043K17Rik"	0	1	0	2	0	0
"1100001I12Rik"	0	0	0	0	0	0
"1110002E22Rik"	12	12	0	2	21	35
"1110002J07Rik"	0	0	3	0	0	8
"1110002L01Rik"	60	80	94	80	86	68
"1110002O04Rik"	0	0	0	0	0	0
"1110004F10Rik"	4979	4824	3925	3904	3440	4424
"1110006O24Rik"	19	11	10	21	10	17
"1110015O18Rik"	0	0	0	0	0	0
"1110018N20Rik"	38	2	12	0	1	4
"1110019D14Rik"	72	74	40	83	45	59
"1110020A21Rik"	32	14	16	37	14	33
"1110025L11Rik"	0	0	0	0	0	0
"1110025M09Rik"	12	15	8	13	15	2
"1110028F11Rik"	6	8	7	1	0	0
"1110028F18Rik"	0	0	0	0	2	0
"1110032F04Rik"	0	0	38	17	54	29
"1110036E04Rik"	0	0	0	0	0	0
"1110038B12Rik"	115	152	219	93	59	102
"1110038F14Rik"	667	762	579	631	471	551
"1110046J04Rik"	11	13	20	20	19	16
"1110057P08Rik"	0	0	0	0	0	0
"1110058D11Rik"	0	0	0	0	0	0
"1110059E24Rik"	296	336	247	376	410	515
"1110059G10Rik"	322	332	268	327	222	347
"1110065P20Rik"	164	163	106	144	105	132
"1190005I06Rik"	7	8	9	2	0	2
"1190028D05Rik"	0	0	0	0	0	2
"1300002E11Rik"	456	335	314	557	296	392
"1500002C15Rik"	18	34	9	27	19	15
"1500002F19Rik"	30	17	20	23	11	22
"1500004A13Rik"	8	22	20	32	0	15
"1500009L16Rik"	193	201	169	140	91	197
"1500011B03Rik"	746	644	524	616	444	575
"1500012K07Rik"	0	0	0	0	0	0
"1500015A07Rik"	63	69	26	41	37	24
"1500015L24Rik"	2	1	0	4	0	0
"1500026H17Rik"	0	1	1	4	8	0
"1500035N22Rik"	0	0	0	0	0	0
"1600002D24Rik"	0	3	0	0	2	0
"1600010M07Rik"	0	0	0	0	0	0
"1600012H06Rik"	674	710	746	1029	845	803
"1600012P17Rik"	0	0	0	0	0	0
"1600014C10Rik"	421	255	198	3195	3474	3679
"1600014C23Rik"	0	0	0	0	0	0
"1600015H23Rik"	0	0	0	0	1	0
"1600019K03Rik"	0	0	0	0	0	0
"1600020E01Rik"	129	89	89	140	69	64
"1600023N17Rik"	0	6	5	0	3	17
"1600025M17Rik"	0	0	0	0	0	0
"1600027J07Rik"	3	0	0	30	7	10
"1600029I14Rik"	0	0	0	0	0	0
"1600029O15Rik"	0	0	0	0	0	0
"1700001D01Rik"	0	0	0	0	0	0
"1700001F09Rik"	0	0	0	0	0	0
"1700001G01Rik"	0	0	0	0	0	0
"1700001G11Rik"	1	2	2	2	3	4
"1700001G17Rik"	3	5	5	7	12	11
"1700001J03Rik"	0	0	0	0	0	0
"1700001J04Rik"	0	0	0	0	0	0
"1700001J11Rik"	2	0	2	3	1	1
"1700001K19Rik"	0	4	3	6	3	0
"1700001K23Rik"	1	1	0	0	2	0
"1700001L05Rik"	55	93	69	16	26	37
"1700001O22Rik"	64	42	52	105	58	66
"1700003C15Rik"	0	0	0	0	0	0
"1700003D09Rik"	0	0	0	0	0	0
"1700003E16Rik"	20	18	20	10	9	18
"1700003E24Rik"	0	0	0	0	0	0
"1700003F12Rik"	1	0	0	0	1	1
"1700003G18Rik"	0	2	0	0	0	5
"1700003H04Rik"	0	0	0	0	0	0
"1700003I22Rik"	0	0	0	0	0	0
"1700003L19Rik"	0	0	0	0	0	0
"1700003M07Rik"	0	0	4	0	0	5
"1700003P14Rik"	0	0	0	0	0	0
"1700006A11Rik"	0	0	0	0	0	0
"1700006F04Rik"	0	0	1	0	0	0
"1700006H20Rik"	0	0	0	0	0	0
"1700006H21Rik"	0	0	0	0	0	0
"1700006J14Rik"	1	2	2	4	0	0
"1700007E05Rik"	0	0	0	0	0	0
"1700007F19Rik"	0	0	0	0	0	0
"1700007J10Rik"	0	0	0	0	0	0
"1700007L15Rik"	41	53	29	28	32	26
