Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mus musculus acetyl-Coenzyme A carboxylase beta (Acacb), transcript variant 2, mRNA",Mus musculus,26.3,26.3,81%,13,100.00,8636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_133904.3?report=genbank&log$=nucltop&blast_rank=1&RID=69UHK58X016"",""NM_133904.3"")"
"PREDICTED: Mus musculus acetyl-Coenzyme A carboxylase beta (Acacb), transcript variant X1, mRNA",Mus musculus,26.3,26.3,81%,13,100.00,8651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006530112.4?report=genbank&log$=nucltop&blast_rank=2&RID=69UHK58X016"",""XM_006530112.4"")"
"PREDICTED: Mus musculus predicted gene 10685 (Gm10685), transcript variant X4, ncRNA",Mus musculus,26.3,26.3,81%,13,100.00,7567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004941615.1?report=genbank&log$=nucltop&blast_rank=3&RID=69UHK58X016"",""XR_004941615.1"")"
"PREDICTED: Mus musculus predicted gene 10685 (Gm10685), transcript variant X1, ncRNA",Mus musculus,26.3,26.3,81%,13,100.00,895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003954518.1?report=genbank&log$=nucltop&blast_rank=4&RID=69UHK58X016"",""XR_003954518.1"")"
"PREDICTED: Mus musculus cDNA sequence BC107364 (BC107364), transcript variant X1, mRNA",Mus musculus,26.3,26.3,81%,13,100.00,5768,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_030252654.2?report=genbank&log$=nucltop&blast_rank=5&RID=69UHK58X016"",""XM_030252654.2"")"
"PREDICTED: Mus musculus predicted gene 10685 (Gm10685), transcript variant X2, ncRNA",Mus musculus,26.3,26.3,81%,13,100.00,5240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003954519.1?report=genbank&log$=nucltop&blast_rank=6&RID=69UHK58X016"",""XR_003954519.1"")"
"Mus musculus acetyl-Coenzyme A carboxylase beta (Acacb), transcript variant 1, mRNA",Mus musculus,26.3,26.3,81%,13,100.00,8699,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001403527.1?report=genbank&log$=nucltop&blast_rank=7&RID=69UHK58X016"",""NM_001403527.1"")"
"PREDICTED: Mus musculus acetyl-Coenzyme A carboxylase beta (Acacb), transcript variant X4, mRNA",Mus musculus,26.3,26.3,81%,13,100.00,8235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006530114.5?report=genbank&log$=nucltop&blast_rank=8&RID=69UHK58X016"",""XM_006530114.5"")"
"PREDICTED: Mus musculus predicted gene 10685 (Gm10685), transcript variant X3, ncRNA",Mus musculus,26.3,26.3,81%,13,100.00,3839,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003954520.1?report=genbank&log$=nucltop&blast_rank=9&RID=69UHK58X016"",""XR_003954520.1"")"
"Mus musculus myosin, heavy polypeptide 1, skeletal muscle, adult (Myh1), mRNA",Mus musculus,24.3,24.3,75%,52,100.00,6070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_030679.2?report=genbank&log$=nucltop&blast_rank=10&RID=69UHK58X016"",""NM_030679.2"")"
"PREDICTED: Mus musculus transcription factor AP-2, alpha (Tfap2a), transcript variant X2, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,5014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017315479.3?report=genbank&log$=nucltop&blast_rank=11&RID=69UHK58X016"",""XM_017315479.3"")"
"PREDICTED: Mus musculus predicted gene 14617 (Gm14617), ncRNA",Mus musculus,24.3,24.3,75%,52,100.00,4664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_003953980.1?report=genbank&log$=nucltop&blast_rank=12&RID=69UHK58X016"",""XR_003953980.1"")"
"PREDICTED: Mus musculus transcription factor AP-2, alpha (Tfap2a), transcript variant X3, mRNA",Mus musculus,24.3,24.3,75%,52,100.00,4703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006516902.5?report=genbank&log$=nucltop&blast_rank=13&RID=69UHK58X016"",""XM_006516902.5"")"
